,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:42Z,241,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:43Z,248,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:44Z,247,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:45Z,258,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:46Z,258,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:47Z,263,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:48Z,269,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:49Z,270,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:50Z,277,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:51Z,288,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:52Z,288,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:53Z,290,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:54Z,304,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:55Z,313,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:56Z,321,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:57Z,327,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:58Z,336,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:55:59Z,342,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
