,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:31Z,286,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:32Z,296,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:33Z,306,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:34Z,316,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:35Z,326,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:36Z,336,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:37Z,346,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:38Z,356,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:39Z,365,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:40Z,375,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:41Z,385,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
